DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2026
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Total"
"150380 JACUNDA";1;-;-;1;1;1;-;-;-;4
"150405 MAE DO RIO";1;-;3;3;1;1;2;2;-;13
"150442 MARITUBA";3;1;-;2;2;1;1;-;-;10
"150445 MEDICILANDIA";2;1;2;2;3;1;-;-;-;11
"150460 MOCAJUBA";-;-;-;-;1;-;-;-;-;1
"150470 MOJU";1;1;-;1;2;-;-;-;-;5
"150497 NOVA IPIXUNA";-;1;-;-;-;-;-;-;-;1
"150503 NOVO PROGRESSO";2;-;1;3;-;3;2;4;1;16
"150510 OBIDOS";-;-;1;-;-;-;3;3;1;8
"150530 ORIXIMINA";-;1;-;-;-;-;-;1;-;2
"150548 PACAJA";-;-;-;-;1;1;1;-;-;3
"150550 PARAGOMINAS";-;-;-;-;2;3;4;4;-;13
"150553 PARAUAPEBAS";4;7;10;8;11;3;4;-;-;47
"150563 PICARRA";-;-;-;-;-;1;-;-;-;1
"150565 PLACAS";-;-;2;-;-;2;-;-;-;4
"150580 PORTEL";-;-;-;1;1;-;-;-;-;2
"150600 PRAINHA";-;-;-;-;-;-;1;-;1;2
"150611 QUATIPURU";-;-;-;-;-;1;-;-;-;1
"150619 RUROPOLIS";-;2;-;1;1;-;-;-;-;4
"150635 SANTA BARBARA DO PARA";-;-;1;-;-;-;-;-;-;1
"150650 SANTA IZABEL DO PARA";6;13;15;17;7;-;2;2;-;62
"150660 SANTA MARIA DO PARA";1;1;1;3;2;3;-;1;-;12
"150670 SANTANA DO ARAGUAIA";9;11;8;9;4;12;16;8;3;80
"150680 SANTAREM";10;20;16;20;37;23;30;10;2;168
"150700 SANTO ANTONIO DO TAUA";1;-;-;-;-;-;-;-;-;1
"150730 SAO FELIX DO XINGU";-;-;-;-;-;-;-;-;1;1
"150745 SAO GERALDO DO ARAGUAIA";-;-;2;3;1;4;1;1;-;12
"150760 SAO MIGUEL DO GUAMA";1;-;-;-;-;1;4;3;-;9
"150775 SAPUCAIA";-;-;1;-;-;-;-;-;-;1
"150790 SOURE";-;-;-;-;-;-;1;-;-;1
"150795 TAILANDIA";1;3;1;2;-;-;-;-;-;7
"150800 TOME-ACU";1;4;2;2;1;2;1;-;-;13
"150805 TRAIRAO";4;1;2;-;-;-;-;-;-;7
"150808 TUCUMA";-;1;-;-;-;-;-;-;-;1
"150810 TUCURUI";-;1;4;4;-;-;-;-;-;9
"150815 URUARA";-;2;1;-;1;2;5;10;4;25
"150835 VITORIA DO XINGU";1;1;1;2;1;1;-;-;-;7
"150840 XINGUARA";-;3;2;5;2;-;-;-;-;12
"160010 AMAPA";-;-;1;-;-;-;-;-;-;1
"160015 PEDRA BRANCA DO AMAPARI";-;-;-;-;-;-;1;-;-;1
"160020 CALCOENE";-;-;-;1;-;1;1;-;-;3
"160023 FERREIRA GOMES";-;-;1;-;-;-;-;-;-;1
"160030 MACAPA";2;2;1;3;-;2;3;-;-;13
"160040 MAZAGAO";1;-;-;-;-;-;-;-;-;1
"160060 SANTANA";1;-;1;1;-;-;-;-;-;3
"160070 TARTARUGALZINHO";-;4;3;2;7;1;1;-;-;18
"170030 AGUIARNOPOLIS";-;-;1;-;-;-;-;-;-;1
"170035 ALIANCA DO TOCANTINS";1;2;2;7;5;2;-;-;-;19
"170070 ALVORADA";-;-;2;-;-;-;2;-;-;4
"170100 ANANAS";-;-;1;-;2;8;1;-;-;12
"170105 ANGICO";1;-;-;-;-;-;1;-;-;2
"170130 ARAGOMINAS";-;-;-;1;2;-;-;-;-;3
"170190 ARAGUACEMA";-;-;-;-;1;1;-;-;-;2
"170200 ARAGUACU";5;-;-;4;2;1;2;1;-;15
"170210 ARAGUAINA";130;135;177;138;289;281;231;206;104;1691
"170215 ARAGUANA";-;-;1;-;1;1;-;1;-;4
"170220 ARAGUATINS";1;-;2;1;6;2;2;2;-;16
"170230 ARAPOEMA";3;2;-;1;3;4;3;3;-;19
"170240 ARRAIAS";-;1;-;-;-;-;-;-;-;1
"170255 AUGUSTINOPOLIS";1;2;-;1;-;2;2;1;-;9
"170290 AXIXA DO TOCANTINS";1;-;-;1;2;1;2;1;-;8
"170300 BABACULANDIA";1;-;-;-;4;1;2;5;2;15
"170305 BANDEIRANTES DO TOCANTINS";-;1;1;-;-;-;-;2;1;5
"170307 BARRA DO OURO";-;-;-;-;1;-;1;2;-;4
"170330 BOM JESUS DO TOCANTINS";-;-;-;-;-;1;-;-;-;1
"170360 BRASILANDIA DO TOCANTINS";-;-;-;-;-;1;-;-;-;1
"170382 CACHOEIRINHA";-;-;1;1;-;-;-;-;-;2
"170384 CAMPOS LINDOS";-;-;-;-;-;-;-;-;1;1
"170388 CARMOLANDIA";-;-;-;1;-;-;-;1;-;2
"170389 CARRASCO BONITO";-;-;-;-;-;-;1;-;-;1
"170510 CHAPADA DA NATIVIDADE";-;-;-;-;-;-;-;1;-;1
"170550 COLINAS DO TOCANTINS";-;3;-;-;1;3;2;2;1;12
"170560 CONCEICAO DO TOCANTINS";-;-;-;-;1;-;1;4;-;6
"170600 COUTO MAGALHAES";-;-;-;-;-;-;-;-;1;1
"170650 DARCINOPOLIS";-;-;-;-;1;-;-;-;-;1
"170700 DIANOPOLIS";-;-;-;-;2;1;2;2;1;8
"170710 DIVINOPOLIS DO TOCANTINS";-;-;1;2;1;-;-;-;-;4
"170740 ESPERANTINA";-;1;-;-;-;-;2;-;-;3
"170770 FILADELFIA";-;-;-;1;-;-;1;1;-;3
"170820 FORMOSO DO ARAGUAIA";-;-;-;-;-;1;-;-;-;1
"170830 GOIANORTE";-;1;-;1;1;-;-;-;-;3
"170900 GOIATINS";-;-;1;1;-;-;2;4;-;8
"170930 GUARAI";-;1;-;1;1;1;4;5;6;19
"170950 GURUPI";-;6;3;2;2;1;4;4;-;22
"171070 ITAGUATINS";-;-;-;-;-;-;1;-;-;1
"171110 ITAPORA DO TOCANTINS";-;2;5;7;34;45;17;7;-;117
"171150 JAU DO TOCANTINS";-;2;-;-;-;-;-;-;-;2
"171190 LAGOA DA CONFUSAO";-;-;1;-;-;3;2;1;1;8
"171195 LAGOA DO TOCANTINS";-;-;-;-;-;-;-;1;-;1
"171250 MARIANOPOLIS DO TOCANTINS";5;8;5;5;-;2;1;2;2;30
"171320 MIRACEMA DO TOCANTINS";-;-;-;-;-;1;-;-;-;1
"171360 MONTE DO CARMO";-;-;-;1;-;-;-;1;1;3
"171395 MURICILANDIA";-;-;1;-;-;-;-;-;2;3
"171420 NATIVIDADE";-;-;-;-;1;-;-;-;-;1
"171430 NAZARE";-;1;-;-;-;-;-;-;-;1
"171488 NOVA OLINDA";-;-;-;-;2;-;-;-;-;2
"171500 NOVA ROSALANDIA";-;-;-;1;-;-;1;-;1;3
"171570 PALMEIRANTE";-;-;-;-;-;-;-;-;1;1
"171575 PALMEIROPOLIS";-;1;-;2;5;3;10;11;-;32
"171610 PARAISO DO TOCANTINS";1;1;1;3;-;-;-;-;-;6
"171630 PAU D'ARCO";-;-;-;-;-;-;2;1;-;3
"171650 PEDRO AFONSO";-;-;1;-;1;3;-;-;-;5
"171660 PEIXE";1;-;1;1;-;-;3;4;-;10
"171670 COLMEIA";-;-;-;-;-;-;-;1;-;1
"171700 PINDORAMA DO TOCANTINS";-;-;1;1;-;1;2;3;1;9
"171720 PIRAQUE";1;1;1;-;2;-;-;-;-;5
"171790 PONTE ALTA DO TOCANTINS";-;-;-;-;1;-;-;-;-;1
"171820 PORTO NACIONAL";1;-;-;2;-;2;-;-;-;5
"171830 PRAIA NORTE";-;-;-;-;1;-;-;1;-;2
"171845 PUGMIL";-;1;1;1;2;1;1;-;-;7
"171886 SANTA FE DO ARAGUAIA";2;2;3;6;2;3;2;2;-;22
"171900 SANTA TEREZA DO TOCANTINS";1;-;-;-;-;-;-;-;-;1
"172000 SANTA TEREZINHA DO TOCANTINS";-;-;-;-;-;-;1;-;-;1
"172010 SAO BENTO DO TOCANTINS";1;-;-;-;-;-;-;-;-;1
"172020 SAO MIGUEL DO TOCANTINS";1;1;1;-;1;-;-;-;-;4
"172025 SAO SALVADOR DO TOCANTINS";11;4;13;7;15;17;23;4;-;94
"172065 SILVANOPOLIS";-;-;-;-;2;5;3;5;1;16
"172080 SITIO NOVO DO TOCANTINS";-;-;1;-;-;-;-;-;-;1
"172093 TAIPAS DO TOCANTINS";-;-;-;-;2;1;1;-;-;4
"172100 PALMAS";1;7;10;8;13;16;21;65;47;188
"172120 TOCANTINOPOLIS";-;2;3;1;9;14;9;7;2;47
"172130 TUPIRATINS";-;-;2;1;2;-;-;2;-;7
"172208 WANDERLANDIA";2;2;2;-;3;2;2;1;1;15
"172210 XAMBIOA";-;-;-;1;1;-;-;-;-;2
"210005 ACAILANDIA";2;1;1;2;-;-;-;1;-;7
"210010 AFONSO CUNHA";-;-;3;3;-;-;-;-;-;6
"210030 ALDEIAS ALTAS";1;-;-;1;-;-;-;-;-;2
"210043 ALTO ALEGRE DO MARANHAO";-;-;-;2;-;-;-;-;-;2
"210047 ALTO ALEGRE DO PINDARE";1;-;-;-;-;-;-;-;-;1
"210050 ALTO PARNAIBA";1;1;-;2;-;-;-;1;-;5
"210060 AMARANTE DO MARANHAO";-;-;1;-;1;-;-;-;-;2
"210083 APICUM-ACU";-;-;-;3;1;-;2;1;-;7
"210100 ARARI";-;-;-;-;-;-;-;1;-;1
"210110 AXIXA";-;1;-;-;-;-;-;-;-;1
"210120 BACABAL";-;1;-;1;1;-;3;-;1;7
"210125 BACABEIRA";-;-;-;1;-;-;-;2;-;3
"210135 BACURITUBA";-;-;1;-;-;-;-;-;-;1
"210140 BALSAS";-;1;-;-;-;1;1;-;-;3
"210160 BARRA DO CORDA";2;-;1;1;2;-;2;-;3;11
"210177 BELA VISTA DO MARANHAO";-;-;-;-;-;1;-;-;-;1
"210190 BEQUIMAO";-;-;-;1;-;-;-;-;-;1
"210200 BOM JARDIM";1;-;-;-;-;-;-;-;-;1
"210210 BREJO";-;-;-;1;-;-;-;-;-;1
"210215 BREJO DE AREIA";-;-;1;-;-;-;-;-;-;1
"210230 BURITI BRAVO";1;-;-;-;-;-;-;-;-;1
"210250 CAJARI";-;-;-;1;-;-;-;-;-;1
"210260 CANDIDO MENDES";3;5;3;8;6;3;3;2;-;33
"210280 CAROLINA";-;-;-;-;-;2;-;-;-;2
"210300 CAXIAS";-;-;-;-;-;-;2;-;-;2
"210320 CHAPADINHA";-;-;1;2;-;-;1;-;-;4
"210325 CIDELANDIA";-;-;-;1;-;-;-;-;-;1
"210330 CODO";-;1;-;-;-;-;-;-;-;1
"210340 COELHO NETO";1;-;-;-;-;-;-;-;-;1
"210350 COLINAS";-;-;-;-;1;1;-;-;-;2
"210405 ESTREITO";-;-;-;-;1;2;5;3;-;11
"210407 FEIRA NOVA DO MARANHAO";2;3;4;2;-;4;4;5;1;25
"210408 FERNANDO FALCAO";-;-;-;-;-;-;1;-;-;1
"210409 FORMOSA DA SERRA NEGRA";1;-;-;-;-;-;1;-;-;2
"210420 FORTUNA";-;-;-;-;-;1;-;-;-;1
"210430 GODOFREDO VIANA";-;-;-;-;-;-;-;2;-;2
"210440 GONCALVES DIAS";-;-;1;-;-;-;-;-;-;1
"210467 GOVERNADOR NUNES FREIRE";2;-;-;-;-;-;-;-;-;2
"210480 GRAJAU";-;-;-;-;2;-;2;1;1;6
"210500 HUMBERTO DE CAMPOS";-;1;-;-;-;-;-;-;-;1
"210515 IGARAPE DO MEIO";-;-;-;-;-;1;-;-;-;1
"210520 IGARAPE GRANDE";-;-;-;-;3;-;-;-;-;3
"210530 IMPERATRIZ";3;-;-;1;-;-;-;-;-;4
"210540 ITAPECURU MIRIM";1;-;1;-;2;1;-;-;-;5
"210545 JATOBA";-;-;-;-;-;-;-;3;1;4
"210565 JUNCO DO MARANHAO";17;32;14;4;4;6;2;-;-;79
"210570 LAGO DA PEDRA";1;-;-;-;-;-;-;1;-;2
"210590 LAGO VERDE";-;4;-;2;-;-;1;-;4;11
"210594 LAGO DOS RODRIGUES";-;-;-;-;1;-;-;-;-;1
"210610 LORETO";1;5;8;15;13;15;17;15;3;92
"210710 MORROS";-;-;1;-;-;-;-;-;-;1
"210740 OLHO D'AGUA DAS CUNHAS";-;1;1;-;-;-;-;-;-;2
"210750 PACO DO LUMIAR";-;-;-;1;1;-;3;-;-;5
"210780 PARNARAMA";-;1;1;3;-;2;2;-;-;9
"210790 PASSAGEM FRANCA";-;-;-;-;-;-;1;-;-;1
"210810 PAULO RAMOS";-;-;-;-;1;-;-;-;-;1
"210820 PEDREIRAS";-;-;-;-;2;2;-;-;-;4
"210845 PERITORO";1;-;-;1;-;1;4;3;-;10
"210850 PINDARE-MIRIM";1;-;3;1;7;8;44;28;1;93
"210860 PINHEIRO";1;-;-;-;-;-;-;-;-;1
"210900 PORTO FRANCO";-;1;-;1;1;-;2;2;1;8
"210950 RIACHAO";7;4;2;8;6;-;-;-;-;27
"210960 ROSARIO";-;-;-;1;-;-;-;-;-;1
"210970 SAMBAIBA";-;-;-;-;-;-;-;-;1;1
"210980 SANTA HELENA";-;-;-;-;-;2;-;-;-;2
"210990 SANTA INES";1;-;-;-;4;2;1;3;-;11
"211003 SANTA LUZIA DO PARUA";-;-;-;-;-;1;-;-;-;1
"211050 SAO BENTO";-;-;-;-;2;5;18;5;-;30
"211070 SAO DOMINGOS DO MARANHAO";-;-;-;1;-;-;-;-;-;1
"211080 SAO FELIX DE BALSAS";-;3;4;14;5;-;-;-;-;26
"211085 SAO FRANCISCO DO BREJAO";-;1;-;-;-;-;-;-;-;1
"211090 SAO FRANCISCO DO MARANHAO";-;-;-;8;4;1;1;-;-;14
"211100 SAO JOAO BATISTA";1;-;-;-;-;-;-;-;-;1
"211105 SAO JOAO DO PARAISO";-;-;-;-;-;1;1;-;-;2
"211110 SAO JOAO DOS PATOS";-;-;-;-;-;-;1;2;-;3
"211120 SAO JOSE DE RIBAMAR";1;2;1;1;2;1;3;-;-;11
"211125 SAO JOSE DOS BASILIOS";-;-;-;-;-;-;-;1;-;1
"211130 SAO LUIS";26;26;23;29;26;30;31;23;-;214
"211150 SAO MATEUS DO MARANHAO";-;1;-;-;2;-;1;-;-;4
"211160 SAO RAIMUNDO DAS MANGABEIRAS";-;-;1;-;-;-;2;-;-;3
"211176 SENADOR LA ROCQUE";-;1;-;-;-;-;-;-;-;1
"211180 SITIO NOVO";1;-;-;-;-;-;2;-;-;3
"211200 TASSO FRAGOSO";-;-;-;-;-;1;-;-;-;1
"211220 TIMON";-;-;-;-;-;1;-;-;-;1
"211223 TRIZIDELA DO VALE";1;-;-;-;-;-;-;-;-;1
"211227 TUFILANDIA";-;-;-;1;-;-;-;-;-;1
"211280 VIANA";-;1;-;-;-;-;-;-;-;1
"211300 VITORINO FREIRE";-;-;-;-;-;1;-;-;-;1
"211400 ZE DOCA";-;1;-;-;1;-;-;-;-;2
"220010 AGRICOLANDIA";-;-;-;-;-;-;2;-;-;2
"220040 ALTOS";-;-;1;-;-;-;-;-;-;1
"220070 ANISIO DE ABREU";-;-;-;-;1;-;-;-;-;1
"220173 BETANIA DO PIAUI";-;-;1;2;1;1;-;-;-;5
"220192 BONFIM DO PIAUI";-;-;-;-;-;1;-;-;-;1
"220202 BURITI DOS MONTES";-;-;-;-;-;-;-;1;-;1
"220250 CARACOL";-;-;-;-;-;-;1;-;-;1
"220320 CURIMATA";1;-;-;-;-;-;-;1;-;2
"220325 CURRALINHOS";-;-;-;-;-;3;4;-;-;7
"220335 DIRCEU ARCOVERDE";-;-;-;-;-;1;-;-;-;1
"220345 DOM INOCENCIO";-;-;-;-;-;-;1;1;-;2
"220350 ELESBAO VELOSO";-;-;-;-;-;1;-;-;-;1
"220390 FLORIANO";-;1;-;-;-;1;-;-;-;2
"220480 IPIRANGA DO PIAUI";-;-;-;-;-;-;1;-;-;1
"220535 JOAO COSTA";-;-;-;-;-;-;1;-;-;1
"220540 JOAQUIM PIRES";-;2;-;-;-;-;-;-;-;2
"220545 JOCA MARQUES";-;-;-;-;-;-;-;1;-;1
"220550 JOSE DE FREITAS";1;-;-;-;-;-;-;-;-;1
"220553 JUREMA";6;-;-;-;13;-;-;-;-;19
"220555 LAGOA ALEGRE";-;-;-;-;1;-;-;-;-;1
"220557 LAGOA DE SAO FRANCISCO";-;-;-;-;1;-;-;-;-;1
"220620 MIGUEL ALVES";1;-;-;-;-;-;-;1;-;2
"220672 NAZARIA";-;-;-;-;1;-;-;-;-;1
"220700 OEIRAS";-;-;1;-;-;-;-;-;-;1
"220710 OLHO D'AGUA DO PIAUI";1;-;-;-;-;-;-;-;-;1
"220760 PARNAGUA";-;-;1;-;-;-;-;-;-;1
"220770 PARNAIBA";2;1;-;-;-;1;-;-;-;4
"220779 PAU D'ARCO DO PIAUI";-;-;-;1;-;-;-;-;-;1
"220800 PICOS";-;-;-;-;-;-;1;-;-;1
"220820 PIO IX";-;-;-;-;-;1;-;-;-;1
"220830 PIRACURUCA";-;-;2;-;-;-;-;-;-;2
"220840 PIRIPIRI";-;-;1;-;-;-;-;-;-;1
"220900 RIO GRANDE DO PIAUI";-;-;-;-;-;-;1;-;-;1
"220955 SAO BRAZ DO PIAUI";-;-;-;-;1;-;1;-;-;2
"221005 SAO JOSE DO DIVINO";-;-;-;1;-;1;-;-;-;2
"221050 SAO PEDRO DO PIAUI";1;1;2;3;2;3;-;-;-;12
"221060 SAO RAIMUNDO NONATO";-;-;1;5;8;8;9;9;-;40
"221063 SEBASTIAO LEAL";-;-;-;-;7;4;2;-;-;13
"221070 SIMOES";-;1;-;-;-;-;-;-;-;1
"221100 TERESINA";33;18;30;38;42;54;51;44;6;316
"221110 UNIAO";-;2;-;-;-;-;1;-;-;3
"221120 URUCUI";-;-;-;-;-;-;1;-;-;1
"230010 ABAIARA";-;-;-;-;-;-;1;-;-;1
"230030 ACOPIARA";-;1;-;-;-;-;-;-;-;1
"230070 ALTO SANTO";-;-;-;-;-;1;-;-;-;1
"230110 ARACATI";-;-;1;1;1;-;-;-;-;3
"230125 ARARENDA";-;-;1;1;-;-;-;-;-;2
"230160 ASSARE";-;1;-;-;-;2;-;-;-;3
"230180 BAIXIO";-;-;-;-;1;-;-;-;-;1
"230185 BANABUIU";1;-;-;-;-;-;-;1;-;2
"230210 BATURITE";-;-;-;1;-;-;-;-;-;1
"230250 BREJO SANTO";4;-;-;1;-;-;3;4;7;19
"230270 CAMPOS SALES";-;-;-;-;-;-;1;-;-;1
"230290 CAPISTRANO";-;-;-;-;-;-;-;1;-;1
"230320 CARIRIACU";-;-;-;-;-;-;1;-;-;1
"230340 CARNAUBAL";-;-;-;-;-;1;5;1;1;8
"230360 CATARINA";-;-;-;-;-;-;-;1;-;1
"230370 CAUCAIA";-;1;1;1;-;-;-;-;-;3
"230380 CEDRO";1;-;-;-;1;-;2;2;-;6
"230395 CHOROZINHO";-;-;-;-;-;-;-;1;-;1
"230420 CRATO";1;-;3;6;2;4;1;-;-;17
"230423 CROATA";-;-;-;-;-;-;-;1;-;1
"230428 EUSEBIO";-;-;-;1;-;-;-;-;-;1
"230430 FARIAS BRITO";-;-;-;2;3;-;1;-;-;6
"230440 FORTALEZA";-;3;3;-;3;2;5;4;1;21
"230465 GRACA";-;-;-;-;-;-;-;1;-;1
"230480 GRANJEIRO";-;2;4;2;7;2;4;5;-;26
"230500 GUARACIABA DO NORTE";31;22;3;7;15;2;-;1;-;81
"230520 HIDROLANDIA";-;-;-;-;-;-;-;1;-;1
"230535 ICAPUI";-;-;1;-;-;-;-;-;-;1
"230540 ICO";-;-;-;1;-;-;1;3;-;5
"230550 IGUATU";-;-;-;-;1;-;-;-;-;1
"230565 IPAPORANGA";-;-;-;-;-;1;-;-;-;1
"230570 IPAUMIRIM";-;-;-;-;-;-;-;-;1;1
"230625 ITAITINGA";-;-;-;1;-;-;-;-;-;1
"230655 ITAREMA";-;-;-;1;1;-;-;-;-;2
"230660 ITATIRA";-;-;-;-;-;-;-;1;-;1
"230680 JAGUARIBARA";-;-;-;-;-;3;2;1;-;6
"230690 JAGUARIBE";-;-;-;-;-;-;-;1;2;3
"230700 JAGUARUANA";-;-;-;-;-;-;-;1;1;2
"230710 JARDIM";6;1;4;4;10;3;15;10;6;59
"230730 JUAZEIRO DO NORTE";-;-;-;1;-;-;-;1;-;2
"230740 JUCAS";1;-;-;-;2;-;-;2;2;7
"230760 LIMOEIRO DO NORTE";-;-;2;-;-;-;-;1;1;4
"230763 MADALENA";1;-;-;-;-;-;-;-;-;1
"230790 MARTINOPOLE";-;-;-;-;-;-;-;1;4;5
"230810 MAURITI";2;-;-;-;1;-;1;-;-;4
"230830 MILAGRES";-;-;-;-;1;-;2;1;1;5
"230850 MOMBACA";-;-;-;-;-;2;10;10;-;22
"230910 MULUNGU";-;-;1;-;-;-;-;-;-;1
"230930 NOVA RUSSAS";-;-;-;1;-;-;-;-;-;1
"230990 PACUJA";-;-;-;-;-;-;-;-;1;1
"231020 PARACURU";-;-;-;-;-;-;1;-;-;1
"231030 PARAMBU";1;-;-;-;-;-;-;-;-;1
"231050 PEDRA BRANCA";1;-;-;-;-;-;-;-;-;1
"231060 PENAFORTE";-;-;-;-;-;-;1;-;-;1
