DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2016
"Município infecção";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110001 ALTA FLORESTA D'OESTE";-;6;-;2;2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"110002 ARIQUEMES";-;-;1;6;2;1;3;-;1;-;2;2;-;1;4;2;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;30
"110003 CABIXI";-;4;11;12;2;4;6;1;2;4;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;52
"110004 CACOAL";-;12;19;19;24;20;15;29;14;13;9;3;3;3;7;5;3;1;1;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;1;-;2;1;6;-;217
"110005 CEREJEIRAS";-;13;30;18;29;26;30;30;39;36;11;3;1;-;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;4;3;3;8;-;292
"110006 COLORADO DO OESTE";-;1;-;-;1;2;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"110007 CORUMBIARA";-;-;-;-;-;-;-;2;-;1;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;9
"110008 COSTA MARQUES";-;-;1;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"110009 ESPIGAO D'OESTE";-;4;12;37;30;11;14;23;40;14;5;4;8;11;13;5;2;11;1;3;3;2;3;2;-;1;1;-;2;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;1;2;-;1;7;4;-;280
"110010 GUAJARA-MIRIM";-;2;2;1;-;3;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;-;-;1;-;-;2;5;-;-;1;-;-;25
"110011 JARU";-;-;-;1;2;-;2;3;2;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;19
"110012 JI-PARANA";-;2;2;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;1;1;-;15
"110013 MACHADINHO D'OESTE";-;4;9;4;5;3;16;15;7;19;9;4;2;2;1;1;-;2;3;-;-;1;5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;3;-;2;2;7;22;42;81;68;65;25;13;-;444
"110014 NOVA BRASILANDIA D'OESTE";-;9;30;34;26;29;29;24;23;21;20;13;15;10;11;3;6;6;3;1;4;4;2;1;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;1;2;-;-;1;-;1;1;-;4;3;-;340
"110015 OURO PRETO DO OESTE";-;1;5;3;5;6;2;8;3;14;11;7;6;8;4;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;1;1;-;93
"110018 PIMENTA BUENO";-;1;1;1;1;2;-;-;4;13;23;23;19;24;21;29;17;4;6;2;2;1;2;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;-;-;-;-;-;-;203
"110020 PORTO VELHO";-;18;27;22;17;36;51;94;85;53;56;46;36;30;45;30;10;7;12;10;7;6;1;7;3;8;7;6;8;10;7;1;2;-;1;-;1;-;1;5;1;2;3;7;7;1;5;6;5;6;3;10;10;-;832
"110025 PRESIDENTE MEDICI";-;-;-;-;1;-;1;2;1;1;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
